epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4317,2.92217,6.28867,3.15016,0.00627,1,0.21748,0.04939,2.1225,5.12342,2.78859,0,0,0
2,25.1139,2.6018,5.34851,3.19083,0.00627,1,0.22784,0.04977,2.16998,5.07476,2.79275,1.50197e-05,1.50197e-05,1.50197e-05
3,37.6164,2.86571,5.58389,3.70675,0.00628,1,0.31829,0.06189,2.20632,4.99821,2.79873,2.67387e-05,2.67387e-05,2.67387e-05
4,49.5887,2.40726,5.39096,2.49724,0.00633,1,0.24479,0.0638,2.17093,4.97626,2.75653,3.5157e-05,3.5157e-05,3.5157e-05
5,61.6561,2.54999,5.12387,3.13753,0.00616,1,0.29307,0.08768,2.06147,5.09191,2.72101,4.02747e-05,4.02747e-05,4.02747e-05
6,73.4176,1.83662,4.64213,2.42678,0.00613,1,0.34271,0.11165,2.03075,5.07919,2.6655,4.20917e-05,4.20917e-05,4.20917e-05
7,85.4356,2.51165,5.14152,3.0024,0.00607,1,0.40319,0.13421,2.09008,4.80921,2.659,4.06081e-05,4.06081e-05,4.06081e-05
8,97.3004,2.03463,4.62837,2.60317,0.00603,1,0.40994,0.14961,2.12095,4.80294,2.63941,3.58238e-05,3.58238e-05,3.58238e-05
9,111.682,2.11422,5.2605,2.62439,0.00601,1,0.41043,0.16143,2.13844,4.77889,2.64444,2.77389e-05,2.77389e-05,2.77389e-05
10,127.64,2.16539,4.5348,2.62169,0.00598,1,0.39752,0.15967,2.13952,4.79721,2.62013,1.63533e-05,1.63533e-05,1.63533e-05
