epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3725,2.5708,3.77111,2.62405,0.0062,1,0.19788,0.04644,2.09952,5.10369,2.79188,0,0,0
2,24.4407,2.32378,4.45875,2.74842,0.00624,1,0.19749,0.04788,2.20136,4.99555,2.79593,1.61199e-05,1.61199e-05,1.61199e-05
3,36.6888,2.17639,3.77502,2.6581,0.00623,1,0.22742,0.05637,2.23169,5.04561,2.8005,3.11396e-05,3.11396e-05,3.11396e-05
4,48.9482,2.12126,3.66278,2.17088,0.00625,1,0.23678,0.05914,2.18646,5.1932,2.74204,4.5059e-05,4.5059e-05,4.5059e-05
5,61.0643,2.04897,3.35374,2.32496,0.00626,1,0.33337,0.06883,2.18178,5.2474,2.71932,5.78782e-05,5.78782e-05,5.78782e-05
6,73.2055,2.29998,3.4741,2.56861,0.00633,1,0.31169,0.08246,2.18357,4.92103,2.72261,6.95973e-05,6.95973e-05,6.95973e-05
7,85.4069,2.3219,3.64171,2.41218,0.00626,1,0.32907,0.09597,2.08487,4.89933,2.61932,8.0216e-05,8.0216e-05,8.0216e-05
8,97.6445,1.95948,3.30623,2.27352,0.0062,1,0.40625,0.1284,1.97948,4.90288,2.52574,8.97346e-05,8.97346e-05,8.97346e-05
9,109.738,1.85082,3.699,2.24749,0.0061,1,0.53968,0.20404,1.96201,4.80046,2.44608,9.8153e-05,9.8153e-05,9.8153e-05
10,121.733,2.02876,3.43417,2.09137,0.00609,1,0.59849,0.23076,2.00371,4.7586,2.4815,0.000105471,0.000105471,0.000105471
11,133.943,2.31537,3.85329,2.37343,0.00605,1,0.52589,0.21551,1.95644,4.67575,2.51475,0.000111689,0.000111689,0.000111689
12,146.056,1.86974,3.20857,2.18185,0.00601,1,0.54586,0.18845,1.89133,4.47356,2.47538,0.000116807,0.000116807,0.000116807
13,158.209,1.55012,3.0677,1.75588,0.00522,0.875,0.58425,0.20118,1.78974,4.45585,2.31009,0.000120824,0.000120824,0.000120824
14,170.474,1.59356,2.98173,1.85484,0.00508,0.875,0.59823,0.24406,1.68294,4.46956,2.20079,0.000123741,0.000123741,0.000123741
15,182.719,1.59749,2.76392,1.79235,0.0049,0.875,0.62262,0.27062,1.60974,4.39615,2.10606,0.000125558,0.000125558,0.000125558
16,194.967,1.45064,2.92221,1.65768,0.00484,0.875,0.62399,0.26688,1.53568,4.42341,2.00909,0.000126275,0.000126275,0.000126275
17,207.114,1.51012,2.8892,1.9683,0.00491,0.875,0.64651,0.30427,1.40481,4.34107,1.89422,0.000125892,0.000125892,0.000125892
18,219.564,1.41129,2.56775,1.65727,0.00491,0.875,0.64651,0.30427,1.40481,4.34107,1.89422,0.000124408,0.000124408,0.000124408
19,231.888,1.53289,2.62032,1.69487,0.00504,0.875,0.64966,0.37932,1.25081,4.32104,1.74658,0.000121824,0.000121824,0.000121824
20,244.617,1.40765,2.42803,1.58633,0.00504,0.875,0.64966,0.37932,1.25081,4.32104,1.74658,0.00011814,0.00011814,0.00011814
21,256.763,1.32433,3.62771,1.66943,0.00595,1,0.7097,0.41165,1.13521,4.24261,1.62352,0.000113356,0.000113356,0.000113356
22,268.813,1.49701,3.65173,1.90021,0.00595,1,0.7097,0.41165,1.13521,4.24261,1.62352,0.000107471,0.000107471,0.000107471
23,281.066,1.30154,3.46844,1.6854,0.00611,1,0.854,0.53762,1.1021,4.08456,1.57097,0.000100487,0.000100487,0.000100487
24,292.988,1.21381,2.78784,1.66532,0.00611,1,0.854,0.53762,1.1021,4.08456,1.57097,9.24018e-05,9.24018e-05,9.24018e-05
25,305.247,1.33676,2.92432,1.5765,0.00608,1,0.88802,0.55522,1.08416,4.04101,1.56257,8.32166e-05,8.32166e-05,8.32166e-05
26,317.287,1.35512,2.99907,1.67232,0.00608,1,0.88802,0.55522,1.08416,4.04101,1.56257,7.29312e-05,7.29312e-05,7.29312e-05
27,329.52,1.22587,3.02974,1.60398,0.00608,1,0.87944,0.58541,1.10153,3.90798,1.5242,6.15456e-05,6.15456e-05,6.15456e-05
28,341.551,1.08449,3.24209,1.54084,0.00608,1,0.87944,0.58541,1.10153,3.90798,1.5242,4.90598e-05,4.90598e-05,4.90598e-05
29,353.515,1.21163,3.0914,1.77895,0.00605,1,0.87592,0.62241,1.00872,3.96464,1.47156,3.54738e-05,3.54738e-05,3.54738e-05
30,368.149,1.30487,3.25719,1.71743,0.00605,1,0.87592,0.62241,1.00872,3.96464,1.47156,2.07875e-05,2.07875e-05,2.07875e-05
