epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0034,2.5708,3.77111,2.62405,0.0062,1,0.19792,0.04642,2.09957,5.10285,2.79188,0,0,0
2,28.6595,2.32378,4.45875,2.74842,0.00622,1,0.20842,0.04925,2.20142,4.99487,2.79592,1.61199e-05,1.61199e-05,1.61199e-05
3,41.2509,2.17639,3.77502,2.6581,0.00623,1,0.22744,0.05634,2.2319,5.04608,2.80047,3.11396e-05,3.11396e-05,3.11396e-05
4,53.7079,2.12126,3.66278,2.17088,0.00626,1,0.23737,0.05929,2.18667,5.19304,2.74207,4.5059e-05,4.5059e-05,4.5059e-05
5,69.1791,2.04897,3.35374,2.32496,0.00626,1,0.33393,0.06949,2.18194,5.24675,2.71929,5.78782e-05,5.78782e-05,5.78782e-05
6,82.3671,2.29998,3.4741,2.56861,0.00632,1,0.31108,0.08244,2.18377,4.92073,2.72264,6.95973e-05,6.95973e-05,6.95973e-05
7,95.6163,2.3219,3.64171,2.41218,0.00628,1,0.32946,0.09609,2.08482,4.89736,2.61928,8.0216e-05,8.0216e-05,8.0216e-05
8,109.599,1.95948,3.30623,2.27352,0.00621,1,0.39894,0.1262,1.97943,4.90098,2.52566,8.97346e-05,8.97346e-05,8.97346e-05
9,123.209,1.85082,3.699,2.24749,0.00611,1,0.53997,0.20405,1.96246,4.7983,2.44808,9.8153e-05,9.8153e-05,9.8153e-05
10,136.519,2.02876,3.43417,2.09137,0.00609,1,0.5985,0.23076,2.00378,4.75655,2.48151,0.000105471,0.000105471,0.000105471
11,150.223,2.31537,3.85329,2.37343,0.00606,1,0.52728,0.229,1.95648,4.67433,2.51489,0.000111689,0.000111689,0.000111689
12,166.227,1.86974,3.20857,2.18185,0.006,1,0.54586,0.18856,1.89163,4.47186,2.47523,0.000116807,0.000116807,0.000116807
13,182.134,1.55012,3.0677,1.75588,0.00522,0.875,0.58821,0.20269,1.789,4.45174,2.30975,0.000120824,0.000120824,0.000120824
14,198.111,1.59356,2.98173,1.85484,0.00509,0.875,0.59823,0.24406,1.68258,4.46418,2.20073,0.000123741,0.000123741,0.000123741
15,212.588,1.59749,2.76392,1.79235,0.0049,0.875,0.62262,0.27062,1.60959,4.38745,2.10614,0.000125558,0.000125558,0.000125558
16,225.629,1.45064,2.92221,1.65768,0.00484,0.875,0.62399,0.26688,1.53682,4.41334,2.00896,0.000126275,0.000126275,0.000126275
17,239.257,1.51012,2.8892,1.9683,0.00491,0.875,0.64651,0.30447,1.40805,4.32452,1.89063,0.000125892,0.000125892,0.000125892
18,252.217,1.41129,2.56775,1.65727,0.00491,0.875,0.64651,0.30447,1.40805,4.32452,1.89063,0.000124408,0.000124408,0.000124408
19,267.173,1.53289,2.62032,1.69487,0.00504,0.875,0.64966,0.37932,1.25447,4.30436,1.74616,0.000121824,0.000121824,0.000121824
20,280.808,1.40765,2.42803,1.58633,0.00504,0.875,0.64966,0.37932,1.25447,4.30436,1.74616,0.00011814,0.00011814,0.00011814
21,294.047,1.32433,3.62771,1.66943,0.00594,1,0.7097,0.41165,1.13666,4.23163,1.62395,0.000113356,0.000113356,0.000113356
22,307.308,1.49701,3.65173,1.90021,0.00594,1,0.7097,0.41165,1.13666,4.23163,1.62395,0.000107471,0.000107471,0.000107471
23,321.182,1.30154,3.46844,1.6854,0.0061,1,0.854,0.5376,1.10437,4.07152,1.57551,0.000100487,0.000100487,0.000100487
24,335.984,1.21381,2.78784,1.66532,0.0061,1,0.854,0.5376,1.10437,4.07152,1.57551,9.24018e-05,9.24018e-05,9.24018e-05
25,349.043,1.33676,2.92432,1.5765,0.00608,1,0.88802,0.55522,1.08517,4.02398,1.56359,8.32166e-05,8.32166e-05,8.32166e-05
26,361.893,1.35512,2.99907,1.67232,0.00608,1,0.88802,0.55522,1.08517,4.02398,1.56359,7.29312e-05,7.29312e-05,7.29312e-05
27,375.807,1.22587,3.02974,1.60398,0.00608,1,0.87944,0.58541,1.10666,3.89176,1.53064,6.15456e-05,6.15456e-05,6.15456e-05
28,388.548,1.08449,3.24209,1.54084,0.00608,1,0.87944,0.58541,1.10666,3.89176,1.53064,4.90598e-05,4.90598e-05,4.90598e-05
29,401.525,1.21163,3.0914,1.77895,0.00605,1,0.87592,0.62241,1.01901,3.93964,1.49126,3.54738e-05,3.54738e-05,3.54738e-05
30,415.328,1.30487,3.25719,1.71743,0.00605,1,0.87592,0.62241,1.01901,3.93964,1.49126,2.07875e-05,2.07875e-05,2.07875e-05
